line,from_bus,to_bus,P_from_pu,Q_from_pu,P_loss_pu,Q_loss_pu
1,1,2,1.56882890532245,-0.204042916842118,0.0429760033620217,0.0727195804401876
2,1,5,0.755103818256538,0.0385499114282336,0.0276287259262499,0.0608434985220002
3,2,3,0.732375792384863,0.0356020295073747,0.0232326933425093,0.0516243582441291
4,2,4,0.561314959394533,-0.0155035039835322,0.016766578320748,0.014703370657779
5,2,5,0.415162150181032,0.0117099785889672,0.00903753353152104,-0.00928036109081071
6,3,4,-0.232856900957646,0.0447311562544669,0.00373444956613947,-0.00362536874753569
7,4,5,-0.611582304445185,0.158236419344411,0.00514419593235405,0.0162263738360622
8,4,7,0.280741759163588,-0.0968106571628342,-2.22044604925031e-16,0.0170321422584004
9,4,9,0.160797575831596,-0.00427611182088251,2.77555756156289e-17,0.0130471082444037
10,5,6,0.440873208602258,0.124706798094358,0,0.0442116161995233
11,6,11,0.0735327698269202,0.0356047297109496,0.000553733235426249,0.00115958665536195
12,6,12,0.0778606701532137,0.0250341423702649,0.000718092441551008,0.00149455070761666
13,6,13,0.177479768622124,0.072165753886422,0.00212085395119233,0.00417662349541684
14,7,8,-1.59594559789866e-16,-0.171629705111225,6.93889390390723e-18,0.00460480856959808
15,7,9,0.280741759163588,0.0577869056899933,0,0.00802068700560193
16,9,10,0.052275524695256,0.0421913779793821,0.000128748508720841,0.000342007198582558
17,9,14,0.0942638102999287,0.0361000623827132,0.00116154091342091,0.00247075314429035
18,10,11,-0.0378532238134655,-0.016150629219196,0.000125812778027853,0.000294513836390106
19,12,13,0.0161425777116625,0.00753959166264842,6.29825831917896e-05,5.69842419354278e-05
20,13,14,0.0564385097994036,0.017471737811719,0.000540779185911874,0.00110104705014361
